_id,Bike Counter Locations,Latitude,Longitude,Setup Date,User Type
1,Aston Quay/Fitzgeralds,53.34668,-6.25988,2019-02-27T00:00:00,Pedestrians
2,Bachelors walk/Bachelors way ,53.34744,-6.2601,2019-02-27T00:00:00,Pedestrians
3,Baggot st lower/Wilton tce inbound ,53.33454,-6.24562,2020-08-27T00:00:00,Pedestrians
4,Baggot st upper/Mespil rd/Bank,53.33377,-6.24451,2020-08-27T00:00:00,Pedestrians
5,Capel st/Mary street,53.34853,-6.2688,2011-08-01T00:00:00,Pedestrians
6,Castleknock Totem,53.37,-6.349436,2020-09-04T00:00:00,Cyclists
7,Charleville Mall ,53.35695,-6.24548,2018-05-28T00:00:00,Cyclists
8,Clonskeagh Totem,53.3063759,-6.237057412,2012-05-03T00:00:00,Cyclists
9,Clontarf - James Larkin Rd,53.36854,-6.17032,2021-04-28T00:00:00,Cyclists
10,Clontarf - Pebble Beach Carpark,53.35825,-6.19107,2021-04-27T00:00:00,Cyclists
11,Coast Road Totem,53.388442,-6.124308,2020-09-04T00:00:00,Cyclists
12,College Green bike loop @Bank of Ireland,53.3454,-6.25922,2024-04-15T12:00:00,Cyclists
13,College Green/Bank Of Ireland,53.34534,-6.25924,2019-02-27T00:00:00,Pedestrians
14,College Green/Church Lane,53.34441,53.34441,2019-02-27T00:00:00,Pedestrians
15,College st/Westmoreland st,53.34506,-6.25888,2019-02-27T00:00:00,Pedestrians
16,Corkagh Park Location 1 - N7,53.30593,-6.4123,2018-11-28T00:00:00,Pedestrians/Cyclists
17,Corkagh Park Location 2 - Grange Castle,53.30996,-6.42233,2018-11-28T00:00:00,Pedestrians/Cyclists
18,Corkagh Park Location 3 - Cherrywood,53.31552,-6.41477,2018-11-28T00:00:00,Pedestrians/Cyclists
19,Corkagh Park Location 4 - Main Car Park,53.31543,-6.4103,2018-11-28T00:00:00,Pedestrians/Cyclists
20,Corkagh Park Location 5 - Main Car Park,53.31558,-6.40953,2018-11-28T00:00:00,Pedestrians/Cyclists
21,Corkagh Park Location 6 - Fonthill,53.31717,-6.41056,2018-11-28T00:00:00,Pedestrians/Cyclists
22,D'olier st/Burgh Quay,53.34684,-6.25887,2019-02-27T00:00:00,Pedestrians
23,Dame Street/Londis,53.34447,-6.26152,2019-02-27T00:00:00,Pedestrians
24,Dawson Street,53.341194,-6.258337,2016-05-06T00:00:00,Pedestrians
25,Dawson Street old,53.34217645,-6.258023149,2011-06-08T00:00:00,Pedestrians
26,Dawson Street/Molesworth,53.34143,-6.25805,2019-11-26T00:00:00,Pedestrians
27,Dodder Valley Park 1,53.28221,-6.34392,2020-03-23T00:00:00,Pedestrians/Cyclists
28,Dodder Valley Park 2,53.28198,-6.34773,2020-03-23T00:00:00,Pedestrians/Cyclists
29,Dodder Valley Park 3,53.27899,-6.35646,2020-03-23T00:00:00,Pedestrians/Cyclists
30,Drumcondra Cyclists Inbound ,53.36367,-6.25743,2020-12-13T14:00:00,Pedestrians/Cyclists
31,Drumcondra Cyclists Outbound,53.36243,-6.25846,2020-12-13T12:00:00,Cyclists
32,Dun Laoghaire @ Peoples Park,53.29178,-6.12886,2020-09-01T00:00:00,Pedestrians/Cyclists
33,Dun Laoghaire @ Seapoint Beach,53.29732,-6.16074,2020-08-31T00:00:00,Pedestrians/Cyclists
34,Dun Laoghaire @ York Road,53.29608,-6.14258,2020-08-31T00:00:00,Pedestrians/Cyclists
35,Glenageary,53.28141,-6.12319,2021-06-14T00:00:00,Pedestrians/Cyclists
36,Grafton st/Monsoon,53.34077,-6.26058,2016-05-09T00:00:00,Pedestrians
