Time,Charleville Mall (Unable to Reinstall Repaired Counter due to Roadworks 23.08.2023),Charleville Mall (Unable to Reinstall Repaired Counter due to Roadworks 23.08.2023) North Cyclist,Charleville Mall (Unable to Reinstall Repaired Counter due to Roadworks 23.08.2023) South Cyclist,Clontarf - James Larkin Rd,Clontarf - James Larkin Rd Cyclist West,Clontarf - James Larkin Rd Cyclist East,Clontarf - Pebble Beach Carpark,Clontarf - Pebble Beach Carpark Cyclist West,Clontarf - Pebble Beach Carpark Cyclist East,Drumcondra Cyclists Inbound (Not On Site - Roadworks) Cyclist,Drumcondra Cyclists Inbound (Not On Site - Roadworks) Cyclist West,Drumcondra Cyclists Inbound (Not On Site - Roadworks) Cyclist East,Drumcondra Cyclists Outbound (Not On Site - Roadworks),Drumcondra Cyclists Outbound (Not On Site - Roadworks) Cyclist East,Drumcondra Cyclists Outbound (Not On Site - Roadworks) Cyclist West,Griffith Avenue (Clare Rd Side),Griffith Avenue (Clare Rd Side) Cyclist South,Griffith Avenue (Clare Rd Side) Cyclist North,Griffith Avenue (Lane Side),Griffith Avenue (Lane Side) Cyclist South,Griffith Avenue (Lane Side) Cyclist North,Grove Road Totem,Grove Road Totem OUT,Grove Road Totem IN,North Strand Rd N/B (Counter Removed for Roadworks) Cyclist,North Strand Rd S/B (Counter Removed for Roadworks) Cyclist,Richmond Street Inbound,Richmond Street Inbound Cyclist South,Richmond Street Inbound Cyclist North,Richmond Street Outbound,Richmond Street Outbound Cyclist North,Richmond Street Outbound Cyclist South
01/01/2024 00:00,,,,1,1,0,11,9,2,,,,0,0,0,1,1,0,1,1,0,13,5,8,0,,4,0,4,8,0,8
01/01/2024 01:00,,,,2,1,1,1,1,0,,,,0,0,0,2,2,0,0,0,0,21,10,11,0,,3,0,3,2,0,2
01/01/2024 02:00,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,17,11,6,0,,5,0,5,14,0,14
01/01/2024 03:00,,,,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,0,0,11,6,5,0,,4,0,4,7,0,7
01/01/2024 04:00,,,,1,1,0,2,0,2,,,,0,0,0,1,1,0,1,1,0,8,5,3,0,,2,0,2,5,0,5
01/01/2024 05:00,,,,1,0,1,3,0,3,,,,0,0,0,0,0,0,1,1,0,10,6,4,0,,2,0,2,5,0,5
01/01/2024 06:00,,,,3,2,1,4,2,2,,,,0,0,0,2,2,0,1,1,0,8,2,6,0,,1,0,1,2,0,2
01/01/2024 07:00,,,,4,3,1,7,1,6,,,,0,0,0,0,0,0,5,5,0,18,5,13,0,,5,0,5,2,0,2
01/01/2024 08:00,,,,16,6,10,14,7,7,,,,0,0,0,2,2,0,28,28,0,16,7,9,0,,9,0,9,2,1,1
01/01/2024 09:00,,,,43,16,27,48,18,30,,,,0,0,0,1,1,0,5,5,0,22,7,15,0,,13,0,13,7,0,7
01/01/2024 10:00,,,,74,28,46,75,29,46,,,,0,0,0,7,7,0,4,4,0,23,6,17,0,,14,0,14,6,0,6
01/01/2024 11:00,,,,73,32,41,90,35,55,,,,0,0,0,7,7,0,1,1,0,23,11,12,0,,18,0,18,10,0,10
01/01/2024 12:00,,,,75,46,29,94,60,34,,,,0,0,0,9,9,0,2,2,0,37,19,18,0,,21,1,20,22,1,21
01/01/2024 13:00,,,,36,20,16,55,23,32,,,,0,0,0,4,4,0,2,2,0,23,11,12,0,,23,0,23,19,1,18
01/01/2024 14:00,,,,21,11,10,37,16,21,,,,0,0,0,6,6,0,4,4,0,38,9,29,0,,28,1,27,20,0,20
01/01/2024 15:00,,,,16,11,5,29,19,10,,,,0,0,0,5,5,0,5,5,0,39,22,17,0,,19,0,19,26,1,25
01/01/2024 16:00,,,,7,7,0,15,9,6,,,,0,0,0,7,7,0,7,7,0,31,12,19,0,,15,1,14,15,0,15
01/01/2024 17:00,,,,2,1,1,1,0,1,,,,0,0,0,1,1,0,9,9,0,24,12,12,0,,12,0,12,20,0,20
01/01/2024 18:00,,,,1,0,1,5,0,5,,,,0,0,0,0,0,0,4,4,0,30,13,17,0,,15,0,15,15,0,15
01/01/2024 19:00,,,,3,2,1,6,4,2,,,,0,0,0,3,3,0,4,4,0,37,15,22,0,,21,0,21,26,0,26
01/01/2024 20:00,,,,4,2,2,6,2,4,,,,0,0,0,3,3,0,6,6,0,22,14,8,0,,20,0,20,15,0,15
01/01/2024 21:00,,,,3,2,1,3,2,1,,,,0,0,0,0,0,0,2,2,0,22,12,10,0,,14,0,14,16,1,15
01/01/2024 22:00,,,,0,0,0,3,2,1,,,,0,0,0,2,2,0,1,1,0,23,15,8,0,,7,0,7,9,0,9
01/01/2024 23:00,,,,1,1,0,1,0,1,,,,0,0,0,1,1,0,1,1,0,9,7,2,0,,7,0,7,7,0,7
02/01/2024 00:00,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,10,8,2,0,,2,0,2,6,0,6
02/01/2024 01:00,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,2,1,1,0,,0,0,0,1,0,1
02/01/2024 02:00,,,,1,1,0,2,1,1,,,,0,0,0,0,0,0,0,0,0,3,3,0,0,,0,0,0,0,0,0
02/01/2024 03:00,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,2,1,1,0,,1,0,1,1,0,1
02/01/2024 04:00,,,,0,0,0,1,0,1,,,,0,0,0,1,1,0,0,0,0,2,1,1,0,,2,0,2,1,0,1
02/01/2024 05:00,,,,2,1,1,6,0,6,,,,0,0,0,3,3,0,1,1,0,24,3,21,0,,8,0,8,2,0,2
02/01/2024 06:00,,,,12,10,2,12,9,3,,,,0,0,0,5,5,0,1,1,0,62,13,49,0,,14,0,14,4,0,4
02/01/2024 07:00,,,,32,28,4,41,33,8,,,,0,0,0,8,8,0,5,5,0,145,30,115,0,,35,0,35,14,0,14
02/01/2024 08:00,,,,36,29,7,38,33,5,,,,0,0,0,17,17,0,26,26,0,263,40,223,0,,80,0,80,24,0,24
02/01/2024 09:00,,,,17,11,6,19,12,7,,,,0,0,0,7,7,0,4,4,0,102,20,82,0,,61,0,61,9,0,9
02/01/2024 10:00,,,,21,13,8,30,16,14,,,,0,0,0,9,9,0,3,3,0,53,16,37,0,,23,1,22,15,0,15
02/01/2024 11:00,,,,32,16,16,24,11,13,,,,0,0,0,6,6,0,3,3,0,40,13,27,0,,35,0,35,17,0,17
02/01/2024 12:00,,,,12,10,2,25,16,9,,,,0,0,0,3,3,0,4,4,0,32,13,19,0,,29,0,29,14,0,14
02/01/2024 13:00,,,,14,6,8,13,4,9,,,,0,0,0,6,6,0,4,4,0,42,20,22,0,,32,0,32,34,0,34
02/01/2024 14:00,,,,10,4,6,13,7,6,,,,0,0,0,2,2,0,2,2,0,52,27,25,0,,21,1,20,21,0,21
02/01/2024 15:00,,,,10,1,9,22,7,15,,,,0,0,0,3,3,0,4,4,0,85,51,34,0,,28,0,28,17,0,17
02/01/2024 16:00,,,,15,1,14,28,2,26,,,,0,0,0,11,11,0,7,7,0,158,80,78,0,,44,0,44,50,0,50
02/01/2024 17:00,,,,35,5,30,64,14,50,,,,0,0,0,17,17,0,8,8,0,211,140,71,0,,74,0,74,77,0,77
02/01/2024 18:00,,,,24,6,18,33,9,24,,,,0,0,0,18,18,0,4,4,0,143,86,57,0,,47,1,46,53,0,53
02/01/2024 19:00,,,,18,7,11,30,11,19,,,,0,0,0,6,6,0,3,3,0,85,42,43,0,,63,0,63,58,0,58
02/01/2024 20:00,,,,10,4,6,21,11,10,,,,0,0,0,5,5,0,2,2,0,43,27,16,0,,55,0,55,40,0,40
02/01/2024 21:00,,,,6,3,3,6,4,2,,,,0,0,0,3,3,0,1,1,0,49,31,18,0,,32,0,32,26,0,26
02/01/2024 22:00,,,,3,1,2,5,0,5,,,,0,0,0,4,4,0,1,1,0,28,19,9,0,,19,0,19,20,0,20
02/01/2024 23:00,,,,3,3,0,4,2,2,,,,0,0,0,1,1,0,0,0,0,16,11,5,0,,12,0,12,14,0,14
03/01/2024 00:00,,,,1,1,0,4,3,1,,,,0,0,0,4,4,0,0,0,0,12,10,2,0,,6,0,6,12,0,12
03/01/2024 01:00,,,,1,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,4,4,0,0,,0,0,0,1,0,1
03/01/2024 02:00,,,,1,1,0,2,1,1,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,1,0,1
03/01/2024 03:00,,,,1,1,0,1,0,1,,,,0,0,0,2,2,0,0,0,0,6,4,2,0,,1,0,1,2,0,2
03/01/2024 04:00,,,,0,0,0,1,1,0,,,,0,0,0,0,0,0,0,0,0,1,0,1,0,,2,0,2,2,0,2
03/01/2024 05:00,,,,3,2,1,3,1,2,,,,0,0,0,0,0,0,1,1,0,27,3,24,0,,10,0,10,0,0,0
03/01/2024 06:00,,,,17,12,5,21,15,6,,,,0,0,0,5,5,0,2,2,0,90,16,74,0,,30,0,30,7,0,7
03/01/2024 07:00,,,,36,31,5,55,45,10,,,,0,0,0,7,7,0,10,10,0,199,45,154,0,,53,0,53,20,0,20
03/01/2024 08:00,,,,49,43,6,75,62,13,,,,0,0,0,19,19,0,64,64,0,351,56,295,0,,120,0,120,27,0,27
03/01/2024 09:00,,,,39,18,21,47,26,21,,,,0,0,0,12,12,0,9,9,0,138,20,118,0,,78,1,77,29,0,29
03/01/2024 10:00,,,,60,25,35,76,27,49,,,,0,0,0,7,7,0,3,3,0,46,12,34,0,,37,0,37,20,0,20
03/01/2024 11:00,,,,45,21,24,46,22,24,,,,0,0,0,6,6,0,2,2,0,55,18,37,0,,40,0,40,23,0,23
03/01/2024 12:00,,,,51,25,26,53,24,29,,,,0,0,0,7,7,0,1,1,0,74,28,46,0,,57,1,56,46,0,46
03/01/2024 13:00,,,,57,25,32,68,35,33,,,,0,0,0,12,12,0,5,5,0,75,35,40,0,,67,0,67,66,0,66
03/01/2024 14:00,,,,53,23,30,72,35,37,,,,0,0,0,8,8,0,4,4,0,86,48,38,0,,55,0,55,46,0,46
03/01/2024 15:00,,,,43,21,22,79,42,37,,,,0,0,0,12,12,0,9,9,0,109,56,53,0,,47,1,46,43,0,43
03/01/2024 16:00,,,,49,17,32,73,32,41,,,,0,0,0,20,20,0,10,10,0,172,106,66,0,,61,1,60,58,0,58
03/01/2024 17:00,,,,78,17,61,113,21,92,,,,0,0,0,23,23,0,14,14,0,292,203,89,0,,67,0,67,126,0,126
03/01/2024 18:00,,,,57,17,40,74,20,54,,,,0,0,0,13,13,0,4,4,0,196,130,66,0,,82,1,81,112,0,112
03/01/2024 19:00,,,,24,7,17,36,11,25,,,,0,0,0,10,10,0,5,5,0,103,55,48,0,,74,0,74,34,0,34
03/01/2024 20:00,,,,12,5,7,21,10,11,,,,0,0,0,11,11,0,4,4,0,69,35,34,0,,56,1,55,34,0,34
03/01/2024 21:00,,,,9,5,4,16,7,9,,,,0,0,0,6,6,0,2,2,0,45,27,18,0,,25,0,25,25,1,24
03/01/2024 22:00,,,,1,1,0,1,0,1,,,,0,0,0,3,3,0,1,1,0,44,30,14,0,,31,0,31,27,0,27
03/01/2024 23:00,,,,2,0,2,5,1,4,,,,0,0,0,2,2,0,1,1,0,28,18,10,0,,11,0,11,21,0,21
04/01/2024 00:00,,,,1,1,0,3,1,2,,,,0,0,0,1,1,0,1,1,0,11,7,4,0,,5,0,5,10,0,10
04/01/2024 01:00,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,5,4,1,0,,0,0,0,3,0,3
04/01/2024 02:00,,,,1,0,1,1,0,1,,,,0,0,0,0,0,0,0,0,0,5,4,1,0,,1,0,1,3,0,3
04/01/2024 03:00,,,,0,0,0,2,0,2,,,,0,0,0,0,0,0,0,0,0,4,1,3,0,,1,0,1,1,0,1
04/01/2024 04:00,,,,0,0,0,2,1,1,,,,0,0,0,1,1,0,0,0,0,2,1,1,0,,0,0,0,2,0,2
04/01/2024 05:00,,,,4,1,3,4,2,2,,,,0,0,0,0,0,0,1,1,0,22,6,16,0,,12,0,12,1,0,1
04/01/2024 06:00,,,,18,14,4,24,19,5,,,,0,0,0,5,5,0,3,3,0,81,17,64,0,,16,0,16,10,0,10
04/01/2024 07:00,,,,36,31,5,47,39,8,,,,0,0,0,12,12,0,10,10,0,187,49,138,0,,53,0,53,16,0,16
04/01/2024 08:00,,,,53,49,4,97,80,17,,,,0,0,0,18,18,0,51,51,0,384,56,328,0,,125,0,125,48,0,48
04/01/2024 09:00,,,,33,19,14,37,24,13,,,,0,0,0,16,16,0,9,9,0,187,28,159,0,,87,0,87,26,1,25
04/01/2024 10:00,,,,54,24,30,62,24,38,,,,0,0,0,7,7,0,6,6,0,68,22,46,0,,44,0,44,23,0,23
04/01/2024 11:00,,,,58,28,30,69,30,39,,,,0,0,0,15,15,0,3,3,0,58,21,37,0,,31,0,31,30,0,30
04/01/2024 12:00,,,,70,33,37,70,33,37,,,,0,0,0,9,9,0,5,5,0,87,31,56,0,,59,0,59,41,0,41
04/01/2024 13:00,,,,72,32,40,88,32,56,,,,0,0,0,14,14,0,9,9,0,76,27,49,0,,59,0,59,65,0,65
04/01/2024 14:00,,,,55,33,22,82,44,38,,,,0,0,0,10,10,0,6,6,0,88,41,47,0,,58,0,58,59,2,57
04/01/2024 15:00,,,,57,22,35,83,37,46,,,,0,0,0,20,20,0,10,10,0,121,59,62,0,,65,0,65,53,0,53
04/01/2024 16:00,,,,61,30,31,107,43,64,,,,0,0,0,14,14,0,9,9,0,209,120,89,0,,63,0,63,68,0,68
04/01/2024 17:00,,,,68,11,57,107,23,84,,,,0,0,0,29,29,0,12,12,0,307,219,88,0,,91,0,91,180,1,179
04/01/2024 18:00,,,,72,16,56,104,27,77,,,,0,0,0,14,14,0,9,9,0,233,148,85,0,,83,0,83,101,0,101
04/01/2024 19:00,,,,30,11,19,50,15,35,,,,0,0,0,13,13,0,4,4,0,108,58,50,0,,68,0,68,58,0,58
04/01/2024 20:00,,,,17,5,12,36,15,21,,,,0,0,0,14,14,0,5,5,0,85,54,31,0,,56,0,56,26,0,26
04/01/2024 21:00,,,,10,6,4,21,8,13,,,,0,0,0,5,5,0,3,3,0,51,26,25,0,,40,1,39,39,1,38
04/01/2024 22:00,,,,5,2,3,9,4,5,,,,0,0,0,11,11,0,3,3,0,37,28,9,0,,18,0,18,27,0,27
04/01/2024 23:00,,,,3,0,3,5,0,5,,,,0,0,0,5,5,0,0,0,0,23,18,5,0,,17,0,17,23,0,23
05/01/2024 00:00,,,,1,1,0,2,1,1,,,,0,0,0,3,3,0,1,1,0,10,5,5,0,,10,0,10,6,1,5
05/01/2024 01:00,,,,0,0,0,1,1,0,,,,0,0,0,0,0,0,0,0,0,10,6,4,0,,0,0,0,0,0,0
05/01/2024 02:00,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,6,4,2,0,,3,0,3,5,0,5
05/01/2024 03:00,,,,0,0,0,1,0,1,,,,0,0,0,0,0,0,0,0,0,7,4,3,0,,4,1,3,3,0,3
05/01/2024 04:00,,,,1,1,0,1,1,0,,,,0,0,0,0,0,0,1,1,0,5,0,5,0,,0,0,0,2,0,2
05/01/2024 05:00,,,,6,5,1,9,5,4,,,,0,0,0,0,0,0,1,1,0,19,6,13,0,,11,0,11,0,0,0
05/01/2024 06:00,,,,15,7,8,20,15,5,,,,0,0,0,5,5,0,3,3,0,79,14,65,0,,16,0,16,10,0,10
