Date and Time,Capel st/Mary street,Grafton st/Monsoon,Henry Street/Coles Lane/Dunnes,Liffey st/Halfpenny Bridge,Mary st/Jervis st,O'Connell St/Pennys,O'Connell st/Princes st North,Westmoreland Street East/Fleet street,Westmoreland Street West/Carrolls
01-01-2016 00:00:00,120,,,,67,,656,,
01-01-2016 01:00:00,139,,,,75,,529,,
01-01-2016 02:00:00,125,,,,69,,676,,
01-01-2016 03:00:00,196,,,,58,,702,,
01-01-2016 04:00:00,130,,,,43,,305,,
01-01-2016 05:00:00,66,,,,33,,82,,
01-01-2016 06:00:00,26,,,,18,,62,,
01-01-2016 07:00:00,23,,,,24,,99,,
01-01-2016 08:00:00,19,,,,21,,134,,
01-01-2016 09:00:00,39,,,,36,,147,,
01-01-2016 10:00:00,67,,,,73,,319,,
01-01-2016 11:00:00,128,,,,161,,473,,
01-01-2016 12:00:00,139,,,,129,,252,,
01-01-2016 13:00:00,200,,,,173,,192,,
01-01-2016 14:00:00,210,,,,183,,257,,
01-01-2016 15:00:00,229,,,,177,,190,,
01-01-2016 16:00:00,232,,,,185,,243,,
01-01-2016 17:00:00,211,,,,148,,222,,
01-01-2016 18:00:00,163,,,,73,,146,,
01-01-2016 19:00:00,132,,,,59,,76,,
01-01-2016 20:00:00,106,,,,32,,45,,
01-01-2016 21:00:00,80,,,,22,,47,,
01-01-2016 22:00:00,103,,,,23,,75,,
01-01-2016 23:00:00,75,,,,15,,41,,
02-01-2016 00:00:00,55,,58,,12,,40,,
02-01-2016 01:00:00,20,,297,,6,,53,,
02-01-2016 02:00:00,16,,117,,5,,19,,
02-01-2016 03:00:00,14,,,,5,,16,,
02-01-2016 04:00:00,19,,,,8,,15,,
02-01-2016 05:00:00,9,,,,15,,11,,
02-01-2016 06:00:00,84,,,,20,,30,,
02-01-2016 07:00:00,34,,,,35,,56,,
02-01-2016 08:00:00,54,,,,28,,122,,
02-01-2016 09:00:00,91,,,,77,,197,,
02-01-2016 10:00:00,178,,,,190,,486,,
02-01-2016 11:00:00,147,,,,454,,652,,
02-01-2016 12:00:00,400,,,,696,,769,,
02-01-2016 13:00:00,483,,,,896,,905,,
02-01-2016 14:00:00,584,,,,963,,947,,
02-01-2016 15:00:00,615,,,,933,,1058,,
02-01-2016 16:00:00,465,,,,844,,997,,
02-01-2016 17:00:00,449,,,,705,,939,,
02-01-2016 18:00:00,378,,,,325,,604,,
02-01-2016 19:00:00,366,,23,,185,,476,,
02-01-2016 20:00:00,269,,30,,88,,366,,
02-01-2016 21:00:00,194,,30,,77,,275,,
02-01-2016 22:00:00,129,,430,,46,,293,,
02-01-2016 23:00:00,181,,1379,,39,,270,,
03-01-2016 00:00:00,222,,,,19,,165,,
03-01-2016 01:00:00,143,,,,14,,134,,
03-01-2016 02:00:00,46,,,,11,,131,,
03-01-2016 03:00:00,47,,,,11,,105,,
03-01-2016 04:00:00,21,,,,12,,44,,
03-01-2016 05:00:00,21,,,,8,,24,,
03-01-2016 06:00:00,18,,,,5,,11,,
03-01-2016 07:00:00,21,,,,9,,6,,
03-01-2016 08:00:00,18,,,,8,,6,,
03-01-2016 09:00:00,37,,,,18,,84,,
03-01-2016 10:00:00,127,,,,132,,299,,
03-01-2016 11:00:00,171,,,,308,,643,,
03-01-2016 12:00:00,440,,,,494,,797,,
03-01-2016 13:00:00,431,,,,653,,741,,
03-01-2016 14:00:00,490,,,,777,,654,,
03-01-2016 15:00:00,499,,,,832,,930,,
03-01-2016 16:00:00,496,,,,775,,988,,
03-01-2016 17:00:00,443,,,,643,,891,,
03-01-2016 18:00:00,348,,,,457,,818,,
03-01-2016 19:00:00,281,,,,227,,773,,
03-01-2016 20:00:00,205,,,,117,,572,,
03-01-2016 21:00:00,178,,,,92,,385,,
03-01-2016 22:00:00,101,,,,74,,345,,
03-01-2016 23:00:00,97,,,,33,,230,,
04-01-2016 00:00:00,51,,,,28,,114,,
04-01-2016 01:00:00,29,,,,16,,70,,
04-01-2016 02:00:00,12,,10,,6,,30,,
04-01-2016 03:00:00,14,,,,9,,35,,
04-01-2016 04:00:00,20,,,,14,,19,,
04-01-2016 05:00:00,23,,,,21,,35,,
04-01-2016 06:00:00,46,,,,40,,186,,
04-01-2016 07:00:00,84,,,,61,,498,,
04-01-2016 08:00:00,229,,,,149,,902,,
04-01-2016 09:00:00,229,,,,158,,766,,
04-01-2016 10:00:00,246,,,,249,,1027,,
04-01-2016 11:00:00,342,,,,493,,1361,,
04-01-2016 12:00:00,558,,,,795,,1705,,
04-01-2016 13:00:00,666,,,,1054,,1577,,
04-01-2016 14:00:00,585,,,,899,,918,,
04-01-2016 15:00:00,312,,,,798,,1173,,
04-01-2016 16:00:00,512,,,,786,,1338,,
04-01-2016 17:00:00,578,,,,731,,1438,,
04-01-2016 18:00:00,468,,,,595,,1177,,
04-01-2016 19:00:00,324,,,,341,,797,,
04-01-2016 20:00:00,213,,,,145,,524,,
04-01-2016 21:00:00,133,,21,,82,,290,,
04-01-2016 22:00:00,97,,36,,37,,250,,
04-01-2016 23:00:00,76,,58,,27,,100,,
05-01-2016 00:00:00,19,,174,,4,,24,,
05-01-2016 01:00:00,11,,288,,2,,4,,
05-01-2016 02:00:00,7,,439,,1,,5,,
05-01-2016 03:00:00,5,,10,,1,,4,,
05-01-2016 04:00:00,8,,21,,1,,7,,
05-01-2016 05:00:00,10,,60,,4,,22,,
05-01-2016 06:00:00,28,,168,,24,,66,,
05-01-2016 07:00:00,103,,344,,31,,144,,
05-01-2016 08:00:00,196,,597,,72,,343,,
05-01-2016 09:00:00,200,,896,,61,,231,,
05-01-2016 10:00:00,189,,1397,,87,,226,,
05-01-2016 11:00:00,303,,2123,,236,,374,,
05-01-2016 12:00:00,446,,2865,,346,,558,,
05-01-2016 13:00:00,543,,3218,,446,,414,,
05-01-2016 14:00:00,549,,3340,,439,,483,,
05-01-2016 15:00:00,449,,3307,,394,,465,,
05-01-2016 16:00:00,453,,2706,,265,,324,,
05-01-2016 17:00:00,456,,2612,,319,,460,,
05-01-2016 18:00:00,446,,2238,,279,,433,,
05-01-2016 19:00:00,331,,1173,,134,,384,,
05-01-2016 20:00:00,211,,558,,76,,256,,
05-01-2016 21:00:00,201,,331,,29,,251,,
05-01-2016 22:00:00,148,,271,,40,,239,,
05-01-2016 23:00:00,101,,150,,24,,157,,
06-01-2016 00:00:00,41,,,,17,,80,,
06-01-2016 01:00:00,14,,,,11,,30,,
06-01-2016 02:00:00,8,,,,2,,17,,
06-01-2016 03:00:00,10,,,,11,,12,,
06-01-2016 04:00:00,9,,,,2,,13,,
06-01-2016 05:00:00,10,,,,13,,46,,
06-01-2016 06:00:00,34,,,,34,,171,,
06-01-2016 07:00:00,89,,,,66,,510,,
06-01-2016 08:00:00,217,,,,152,,983,,
06-01-2016 09:00:00,325,,,,220,,932,,
06-01-2016 10:00:00,203,,,,323,,1052,,
06-01-2016 11:00:00,415,,,,455,,1241,,
06-01-2016 12:00:00,503,,,,620,,1393,,
06-01-2016 13:00:00,663,,,,858,,1338,,
