Date and Time,Capel st/Mary street,Grafton st/Monsoon,Henry Street/Coles Lane/Dunnes,Liffey st/Halfpenny Bridge,Mary st/Jervis st,O'Connell St/Pennys,Westmoreland Street East/Fleet street,Westmoreland Street West/Carrolls
01/01/2017 00:00,124,1625,259,827,65,2521,460,1481
01/01/2017 01:00,112,1204,255,825,76,2195,367,944
01/01/2017 02:00,124,1240,277,775,74,2314,310,722
01/01/2017 03:00,171,1395,279,1359,66,3326,418,1007
01/01/2017 04:00,85,836,168,200,44,1286,143,519
01/01/2017 05:00,65,317,73,60,26,1032,53,348
01/01/2017 06:00,34,162,90,29,20,520,57,230
01/01/2017 07:00,32,173,67,55,21,805,68,206
01/01/2017 08:00,32,183,135,35,23,763,67,806
01/01/2017 09:00,40,309,285,63,50,1229,76,578
01/01/2017 10:00,80,766,659,160,117,2427,130,487
01/01/2017 11:00,190,1401,1228,355,242,2478,182,782
01/01/2017 12:00,222,2535,1848,542,350,3151,279,2023
01/01/2017 13:00,283,2922,2436,744,456,3746,366,803
01/01/2017 14:00,313,3389,2879,837,522,3734,295,950
01/01/2017 15:00,357,3664,2950,1056,616,3948,327,1303
01/01/2017 16:00,349,3849,3006,1032,647,4345,363,1730
01/01/2017 17:00,338,2817,2213,729,467,3943,368,1825
01/01/2017 18:00,315,1714,1519,535,363,3752,313,985
01/01/2017 19:00,218,1107,1016,379,242,3538,232,1778
01/01/2017 20:00,161,1004,705,283,157,2959,299,663
01/01/2017 21:00,208,612,413,196,121,3049,156,985
01/01/2017 22:00,114,475,288,174,81,2738,155,684
01/01/2017 23:00,97,339,150,148,40,1593,143,449
02/01/2017 00:00,50,238,93,78,30,923,47,440
02/01/2017 01:00,34,125,63,34,27,631,43,312
02/01/2017 02:00,15,106,38,47,12,547,33,100
02/01/2017 03:00,15,127,32,14,4,395,25,16
02/01/2017 04:00,15,64,62,31,18,244,7,12
02/01/2017 05:00,9,43,41,23,2,313,9,78
02/01/2017 06:00,30,138,113,27,25,587,50,196
02/01/2017 07:00,41,252,169,56,28,534,63,181
02/01/2017 08:00,31,395,358,67,54,933,116,166
02/01/2017 09:00,101,773,787,269,97,1972,129,259
02/01/2017 10:00,219,1297,1846,426,224,1999,177,1524
02/01/2017 11:00,266,2425,3717,884,436,2761,240,992
02/01/2017 12:00,337,3451,4949,1189,654,3153,356,733
02/01/2017 13:00,483,3500,5340,1654,879,4042,512,1023
02/01/2017 14:00,517,4489,5490,1964,980,4395,436,859
02/01/2017 15:00,496,4942,5823,2004,960,5040,439,1085
02/01/2017 16:00,531,4759,5877,1955,923,4876,566,1264
02/01/2017 17:00,345,4009,4694,1582,814,4965,468,1296
